Name,Comment,Time,Likes,Reply Count
Robert G,Hey coca cola your company is a POS for not chastising Bidens  china,2022-02-05T17:37:32Z,0,0
Change Life,Coca-cola use to be my go to soda.  These days they have become racist towards white Americans.  I can't stand Coca-Cola.  Teaching employees how to be less white? What does Coca-Cola care if they are racist against white people as white people coubt in the whole world doesn't even come close to India and Asia combined.  Let alone Africa and South America.   Of course this liberal station just loves Coca-Cola now that Coca-Cola hates white people.,2022-02-04T00:37:12Z,0,0
azure blue,Fun fact: google says coca cola doesnt taste best in the USA but in Macedonia,2022-02-03T20:01:57Z,0,0
Qualitypro paintings,https://youtube.com/shorts/kLGKowKseCE?feature=share,2022-02-01T14:57:14Z,0,0
Matthew Chang,There's coka cola everywhere u turn,2022-01-30T07:03:14Z,0,0
Matthew Chang,There's a soda fountain,2022-01-30T07:01:03Z,0,0
Juan Yepez,Coca-Cola isn’t going anywhere and to bad that in the US they don’t make it like the rest of the world.,2022-01-28T12:46:56Z,0,0
Steeldriver,Wokacola is no longer allowed in my house.,2022-01-25T22:28:28Z,0,0
Abraham Manders,Fallout 4.,2022-01-22T12:46:04Z,1,0
Robin Michelle,Woke coke is at it again . I will never buy anything you mags again. I have a list of all of your crap. Take your woke black labels. Hope blacks can support you.,2022-01-22T12:28:26Z,0,0
Dai Davies,A WOKE company will go BROKE,2022-01-20T18:50:52Z,0,0
Dai Davies,Not with me its Not…. I’m being Less White by not buying Black CoCa CoLa,2022-01-20T18:49:55Z,0,0
pleuvonics,Watching this drinking Diet Coke. Sorry it’s so damn good.,2022-01-18T17:46:31Z,0,0
Shiron Radiation,Becuz countries like india which has 1.4billion people drinks coke becuz of less variety of energy drinks and the higher prices of abroad drinks so yes countries like india or 3rd world countries is carrying coke,2022-01-15T07:40:30Z,0,0
Felangelix,Salut manon,2022-01-14T10:10:12Z,1,6
Felangelix,@Manon. D en cours aussi,2022-01-14T10:22:03Z,0,
Manon. D,@Felangelix en cours et toi,2022-01-14T10:18:38Z,0,
Felangelix,@Manon. D trql aussi tfq,2022-01-14T10:14:33Z,0,
Manon. D,@Felangelix trkl et toi le sang,2022-01-14T10:14:13Z,0,
Felangelix,@Manon. D ça va,2022-01-14T10:13:50Z,0,
Manon. D,Salut lisa,2022-01-14T10:10:35Z,0,
Caesar thePatriot,Absolutely no Coca-Cola allowed in my household,2022-01-14T08:29:12Z,3,0
Euan,Fell in luv with codiene 😩🤧💯‼️,2022-01-13T12:03:25Z,0,0
Justin carrizales,I’m officially a shareholder 😂🙏,2022-01-12T21:52:03Z,0,0
greywolf0167,Get rid of the 2LTR bottles...5 minutes after in a glass with ice the coke drink has no fuzz...and 15 minutes after you removed that glass from the same 2LTR bottle...there is no fuzz at all...hence the reason why i purchase either 1LTR bottle and lower and or Cans...this drink needs the fuzz,2022-01-12T21:33:12Z,0,0
Miguel Maravilla,It’s all about SPRITE !!!!!!!!❤️😂,2022-01-11T11:40:04Z,1,0
Mystic Point Water Sports,cheaper than water eh??  jail and cage them then,2022-01-08T17:17:49Z,0,0
Kevin Terlaje,2.3k,2022-01-06T08:51:03Z,1,0
Alex Green,And Pepsi…,2022-01-05T17:26:55Z,0,0
AskMiko,"Their acquisition of so many beverage brands has led to neglect in their core product line up. The innovation in flavors and blends in the early 2000s seems to be gone. Now it is the fight to be BIG vs. being GREAT. They still dominate global markets, but the variety isn’t the same. The US market is a convoluted mess… hard to find new products and existing products are excessively sweet without the distinctive flavor profile. Cherry tastes like original, diet tastes like nothing. Zero has changed too… pull it together, Coke!",2022-01-05T08:50:39Z,0,0
James Ross,coke literally hasnt done sht since the 1800s lol they have the same drink its always been if they changed it no one would buy it ... der,2022-01-05T05:17:39Z,0,0
h0b0c0p,The entire time... Christopher Walken is the CEO,2022-01-04T07:33:43Z,0,0
J L,"any soda drink is just garbage and should be completely banned, selling crap to a load of fast foodies",2021-12-29T12:19:12Z,0,0
432hz Love Frequency - TRUTH INSIDE OF YOU,"Mexico’s Coca-Cola Problem
February 10, 2016

What is one of the leading causes of death in Mexico? If you said the drug war, you would be right. That continuing calamity has taken more than 110,000 lives over the past decade. But a killer that has claimed far more lives, if not headlines, is Type 2 diabetes. That preventable illness kills 70,000 people each year in Mexico.

The public’s great thirst for Coca-Cola and other sugary beverages, based some say on culture, some on the lack of potable water, contributes to this national health crisis. Mexicans consume almost 500 cans of sugar-loaded soda per person every year. Mexico leads the world in fatalities—about 24,000 annually—linked to the overconsumption of sugar. Coca-Cola, which controls more than 73 percent of the country’s soft-drink market, is indeed killing Mexicans.

Fortunately, a 10 percent tax instituted in 2013 on sugar-enriched drinks is having the desired effect. In its first year, the tax reduced consumption of sugary drinks by 12 percent. That approach is something the United States, which has its own problems with the overconsumption of sugary drinks, might want to consider. An estimated 86 million Americans over age 20 are on their way to Type 2 diabetes. Also effective in encouraging healthier choices have been warning labels, required by some U.S. states, noting that consuming beverages with added sugars “contributes to diabetes, obesity and tooth decay.” The international purveyors of sugary beverages might pause to consider how their aggressive marketing thwarts public health initiatives in Mexico—indeed all over the world.",2021-12-27T21:21:55Z,0,0
